ID,Player,Position,Age,Nationality,Club,MarketValue,ProfileURL
489,Ola Aina,Right-Back,28,"Nigeria, England",Nottingham Forest,€22.00m,https://www.transfermarkt.com/ola-aina/profil/spieler/236490
490,Serge Gnabry,Left Winger,29,"Germany, Cote d'Ivoire",Bayern Munich,€22.00m,https://www.transfermarkt.com/serge-gnabry/profil/spieler/159471
491,Leon Goretzka,Central Midfield,30,Germany,Bayern Munich,€22.00m,https://www.transfermarkt.com/leon-goretzka/profil/spieler/153084
492,Leandro Trossard,Left Winger,30,Belgium,Arsenal FC,€22.00m,https://www.transfermarkt.com/leandro-trossard/profil/spieler/144028
493,Antoine Griezmann,Centre-Forward,34,France,Atlético de Madrid,€22.00m,https://www.transfermarkt.com/antoine-griezmann/profil/spieler/125781
494,Romelu Lukaku,Centre-Forward,32,"Belgium, DR Congo",SSC Napoli,€22.00m,https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341
495,Facundo Buonanotte,Attacking Midfield,20,"Argentina, Italy",Leicester City,€20.00m,https://www.transfermarkt.com/facundo-buonanotte/profil/spieler/983989
496,Wesley,Right-Back,21,Brazil,CR Flamengo,€20.00m,https://www.transfermarkt.com/wesley/profil/spieler/964580
497,Chris Rigg,Attacking Midfield,17,England,Sunderland AFC,€20.00m,https://www.transfermarkt.com/chris-rigg/profil/spieler/947411
498,Vitor Roque,Centre-Forward,20,Brazil,Sociedade Esportiva Palmeiras,€20.00m,https://www.transfermarkt.com/vitor-roque/profil/spieler/943837
499,Mikel Jauregizar,Central Midfield,21,Spain,Athletic Bilbao,€20.00m,https://www.transfermarkt.com/mikel-jauregizar/profil/spieler/938729
500,Oscar Gloukh,Attacking Midfield,21,Israel,Red Bull Salzburg,€20.00m,https://www.transfermarkt.com/oscar-gloukh/profil/spieler/930571
